item_id,name,calories,protein,carbs,fat,fiber,diet_type,meal_type,goal_tag
1,Oats with Berries,310,12,48,8,4,Vegan,Breakfast,Weight Loss
2,Banana Almond Smoothie,280,8,38,10,3,Vegan,Breakfast,Weight Loss
3,Avocado Toast with Seeds,340,10,30,20,3,Vegan,Breakfast,Weight Loss
4,Overnight Chia Pudding,260,9,32,12,3,Vegan,Breakfast,Weight Loss
5,Tofu Scramble,220,18,10,12,2,Vegan,Breakfast,Weight Loss
6,Egg White Omelette,180,22,8,6,2,Veg,Breakfast,Weight Loss
7,Paneer Paratha,420,16,38,22,3,Veg,Breakfast,Maintenance
8,Greek Yogurt Parfait,290,18,35,8,3,Veg,Breakfast,Weight Loss
9,Masala Dosa,350,8,50,14,5,Veg,Breakfast,Weight Loss
10,Idli Sambar,250,10,42,4,4,Veg,Breakfast,Weight Loss
11,Chicken Sausage Wrap,380,26,30,16,3,Non-Veg,Breakfast,Weight Loss
12,Egg Bhurji on Toast,340,20,28,16,2,Non-Veg,Breakfast,Weight Loss
13,Smoked Salmon Toast,400,28,30,18,3,Non-Veg,Breakfast,Maintenance
14,Turkey Bacon & Eggs,320,30,6,20,2,Non-Veg,Breakfast,Weight Loss
15,Poha with Peanuts,280,8,40,10,4,Veg,Breakfast,Weight Loss
16,Pancakes with Maple Syrup,450,10,70,15,7,Vegetarian,Breakfast,Maintenance
17,Frittata with Tomatoes & Basil,300,20,5,22,2,Vegetarian,Breakfast,Weight Loss
18,Huevos Rancheros,400,18,35,22,3,Vegetarian,Breakfast,Maintenance
19,Congee (Rice Porridge),250,8,45,4,4,Vegan,Breakfast,Weight Loss
20,Upma,260,7,40,8,4,Vegetarian,Breakfast,Weight Loss
21,Poha,250,6,45,5,3,Vegan,Breakfast,Weight Loss
22,Scrambled Eggs on Toast,350,22,28,16,2,Non-Vegetarian,Breakfast,Weight Loss
23,Aloo Paratha,380,9,52,16,4,Vegetarian,Breakfast,Weight Loss
24,Smoothie Bowl,290,10,48,6,7,Vegan,Breakfast,Weight Loss
25,Dosa with Chutney,270,7,42,8,3,Vegan,Breakfast,Weight Loss
26,Omelette with Vegetables,280,20,8,18,2,Non-Vegetarian,Breakfast,Weight Loss
27,Ragi Porridge,200,7,38,3,5,Vegan,Breakfast,Weight Loss
28,Classic Paneer with Basmati Rice,342,11,79,8,7,Vegan,Breakfast,Weight Loss
29,Baked Avocado Toast with Olive Oil,791,17,18,5,2,Non-Vegetarian,Breakfast,Muscle Gain
30,Tandoori Paneer with Herbs,780,25,37,34,3,Vegetarian,Breakfast,Muscle Gain
31,Grilled Pasta with Garlic Sauce,445,8,40,8,4,Vegan,Breakfast,Maintenance
32,Steamed Soup with Herbs,262,30,53,9,5,Non-Vegetarian,Breakfast,Weight Loss
33,Crispy Tofu with Steamed Veggies,753,5,21,18,2,Vegetarian,Breakfast,Muscle Gain
34,Classic Wrap with Steamed Veggies,521,8,16,33,2,Non-Vegetarian,Breakfast,Maintenance
35,Lemon Stir-Fry with Steamed Veggies,283,31,84,23,8,Non-Vegetarian,Breakfast,Weight Loss
36,Classic Wrap with Avocado,478,23,87,16,8,Vegan,Breakfast,Maintenance
37,Creamy Wrap with Avocado,640,13,15,22,2,Vegetarian,Breakfast,Muscle Gain
38,Lemon Soup with Basmati Rice,305,27,81,29,8,Vegetarian,Breakfast,Weight Loss
39,Creamy Tofu with Garlic Sauce,646,5,76,15,7,Vegetarian,Breakfast,Muscle Gain
40,Tandoori Pasta with Basmati Rice,593,36,61,18,6,Vegetarian,Breakfast,Maintenance
